1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ALLOYS, SUNROOF, LOW INSURANCE,CAT Write-off Category IconDCreated with Sketch.,2005 (05 reg),Hatchback,59,000 miles,Manual,1.2L,75 bhp,00,990,Renault Clio 1.1 DYNAMIQUE 16V 3d 75 BHP,http://83.170.105.134/164.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a787ceaa30c948f9aad9caacfa6f76a7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/21977/images/searchsso.gif
ALLOYS, SUNROOF, LOW INSURANCE,CAT Write-off Category IconDCreated with Sketch.,2005 (05 reg),Hatchback,59,000 miles,Manual,1.2L,75 bhp,00,990,Renault Clio 1.1 DYNAMIQUE 16V 3d 75 BHP,http://83.170.105.134/657.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a787ceaa30c948f9aad9caacfa6f76a7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/21977/images/searchsso.gif
ALLOYS, SUNROOF, LOW INSURANCE,CAT Write-off Category IconDCreated with Sketch.,2005 (05 reg),Hatchback,59,000 miles,Manual,1.2L,75 bhp,00,990,Renault Clio 1.1 DYNAMIQUE 16V 3d 75 BHP,http://83.170.105.134/969.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a787ceaa30c948f9aad9caacfa6f76a7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/21977/images/searchsso.gif
12 MONTHS MOT,2005 (05 reg),Hatchback,74,293 miles,Manual,1.8L,123 bhp,Petrol,01,000,Ford Mondeo 1.8 LX 16V 5d 125 BHP,http://83.170.105.134/216.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=ea776b460abf4911a08e4659cbce6609&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/908081/images/searchlogo.gif
LONG MOT,PX TO CLEAR,HPI CLEAR,2007 (57 reg),Hatchback,181,000 miles,Manual,1.8L,123 bhp,Diesel,01,180,Ford Mondeo 1.8 TDCi Zetec 6 Speed 5dr,http://83.170.105.134/241.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a059f8dac40e48adafe1c3004c003d32&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10011532/images/searchlogo.gif
Superb condition. Great runner,2007 (07 reg),Hatchback,110,000 miles,Manual,1.8L,123 bhp,Petrol,01,300,Ford Mondeo 1.8 LX 5dr,http://83.170.105.134/302.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=fde72fc9b2264325a1e1698b4df52020&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10008054/images/searchlogo.gif
PETROL-AUTO-SERVICE HISTORY,2005 (05 reg),Hatchback,75,707 miles,Automatic,1.8L,123 bhp,Petrol,01,450,Vauxhall Astra 1.8 i 16v Club 5dr,http://83.170.105.134/331.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=47f01f194e524238963f7b5d41fe7b28&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/748496/images/searchlogo.gif
BEAUTIFUL SPORTY HATCHBACK,2006 (06 reg),Hatchback,105,000 miles,Manual,1.8L,123 bhp,Petrol,01,690,Vauxhall Astra 1.8 i 16v SRi 5dr,http://83.170.105.134/472.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=8273d6fae7ee491b8c0b029932561603&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10006087/images/searchlogo.gif
#ERROR!,2006 (06 reg),Convertible,64,000 miles,Manual,1.8L,123 bhp,Petrol,01,690,Vauxhall Astra 1.8 i 16v Exclusiv 2dr,http://83.170.105.134/476.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=aba132a4cdbe479d8bc500e4b89c5bda&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/108130/images/adv_logo3.gif
BARGAIN+LOW MILLAGE+HPI CLEAR,2006 (06 reg),MPV,69,382 miles,Manual,1.8L,123 bhp,Petrol,01,700,Ford Focus C-Max 1.8 16v Zetec 5dr,http://83.170.105.134/505.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=27c727dd71494d43b155aecf98375ab0&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10007797/images/searchlogo.gif
#ERROR!,2007 (57 reg),Hatchback,94,000 miles,Manual,1.8L,123 bhp,Petrol,00,990,Ford Focus 1.8 Style 5dr,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://dealerlogo.atcdn.co.uk/at2/adbranding/108130/images/adv_logo3.gif
12 MONTHS MOT,2005 (05 reg),Hatchback,74,293 miles,Manual,1.8L,123 bhp,Petrol,01,000,Ford Mondeo 1.8 LX 16V 5d 125 BHP,http://83.170.105.134/709.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=ea776b460abf4911a08e4659cbce6609&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/908081/images/searchlogo.gif
LONG MOT,PX TO CLEAR,HPI CLEAR,2007 (57 reg),Hatchback,181,000 miles,Manual,1.8L,123 bhp,Diesel,01,180,Ford Mondeo 1.8 TDCi Zetec 6 Speed 5dr,http://83.170.105.134/734.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a059f8dac40e48adafe1c3004c003d32&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10011532/images/searchlogo.gif
Superb condition. Great runner,2007 (07 reg),Hatchback,110,000 miles,Manual,1.8L,123 bhp,Petrol,01,300,Ford Mondeo 1.8 LX 5dr,http://83.170.105.134/795.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=fde72fc9b2264325a1e1698b4df52020&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10008054/images/searchlogo.gif
#ERROR!,2007 (57 reg),Hatchback,94,000 miles,Manual,1.8L,123 bhp,Petrol,00,990,Ford Focus 1.8 Style 5dr,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png,https://dealerlogo.atcdn.co.uk/at2/adbranding/108130/images/adv_logo3.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/18.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/66.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/92.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/104.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/299.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/351.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/455.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/468.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/481.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/546.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/547.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/585.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/689.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/807.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/871.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/911.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/963.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
AUTO,14812 MILES ONLY!,2012,Hatchback,14,812 miles,Automatic,1.6L,123bhp,Petrol,06,795,Ford Focus 1.6 ZETEC 5d AUTO 124 BHP AUTO 14812 MILES ONLY! FULL ???,http://83.170.105.134/976.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c46a021e88714c04ac52f3accbf57ae4&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/203/images/sso20.gif
Long MOT Low Mileage Alloys,2002 (52 reg),Hatchback,65,000 miles,Manual,1.8L,125 bhp,Petrol,01,290,Seat Leon 1.8 20V SE 5dr,http://83.170.105.134/269.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=5f858aa6c02f4d1b8ff77e972b4c6294&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/307947/images/searchlogo1.gif
#ERROR!,2007 (57 reg),Hatchback,84,000 miles,Manual,1.6L,125 bhp,Petrol,01,290,Citroen C2 1.6 i 16v VTS 3dr,http://83.170.105.134/271.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=738f203bfd1945cca6fd5454748cbaba&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/108130/images/adv_logo3.gif
Long MOT Low Mileage Alloys,2002 (52 reg),Hatchback,65,000 miles,Manual,1.8L,125 bhp,Petrol,01,290,Seat Leon 1.8 20V SE 5dr,http://83.170.105.134/282.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=5f858aa6c02f4d1b8ff77e972b4c6294&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/307947/images/searchlogo1.gif
#ERROR!,2007 (57 reg),Hatchback,84,000 miles,Manual,1.6L,125 bhp,Petrol,01,290,Citroen C2 1.6 i 16v VTS 3dr,http://83.170.105.134/284.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=738f203bfd1945cca6fd5454748cbaba&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/108130/images/adv_logo3.gif
Long MOT Low Mileage Alloys,2002 (52 reg),Hatchback,65,000 miles,Manual,1.8L,125 bhp,Petrol,01,290,Seat Leon 1.8 20V SE 5dr,http://83.170.105.134/762.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=5f858aa6c02f4d1b8ff77e972b4c6294&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/307947/images/searchlogo1.gif
#ERROR!,2007 (57 reg),Hatchback,84,000 miles,Manual,1.6L,125 bhp,Petrol,01,290,Citroen C2 1.6 i 16v VTS 3dr,http://83.170.105.134/764.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=738f203bfd1945cca6fd5454748cbaba&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/108130/images/adv_logo3.gif
6 MONTHS NATION WIDE WARRANTY,2004 (54 reg),MPV,139,000 miles,Manual,1.8L,127 bhp,Petrol,01,500,Toyota Corolla Verso 1.8 VVT-i T3 5dr,http://83.170.105.134/410.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=8eceb58b71cf4121a0d146bc7e6a8c2a&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/10009461/images/searchlogo.gif
Service history,2004 (54 reg),Hatchback,98,835 miles,Manual,1.8L,127 bhp,Petrol,01,650,Toyota Avensis 1.8 VVT-i T3-X 5dr,http://83.170.105.134/459.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=15c2a3989a2c444485f2d5ec2725b96d&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/1110532/images/searchlogo.gif
DIESEL MANUAL,2005 (05 reg),Hatchback,100,000 miles,Manual,2.0L,128 bhp,Diesel,00,650,Ford Mondeo 2.0 TDCi LX 5dr,http://83.170.105.134/80.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c65362d50971439fa18389f5835e426e&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/748496/images/searchlogo.gif
TURBO DIESEL,2005 (55 reg),Hatchback,132,000 miles,Manual,2.0L,128 bhp,Diesel,01,295,Ford Mondeo 2.0 TDCi SIV Ghia 5dr,http://83.170.105.134/292.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=259cb2786b004538a3bab05a8ec758e7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/155825/images/searchlogo.gif
LEATHER SERVICE HISTORY ALLOYS,2005 (54 reg),Saloon,150,000 miles,Manual,2.0L,128 bhp,Diesel,01,389,Jaguar X-Type 2.0 S D 4d 130 BHP LEATHER SERVICE HISTORY ALLOYS,http://83.170.105.134/309.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=d776414696c443798ed6ce9f625a88ff&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/22177/images/adv_search.gif
6 SPEED ??? AIRCON,2003 (53 reg),Hatchback,116,710 miles,Manual,1.9L,128 bhp,Diesel,01,477,Seat Leon 1.9 TDI SE 5dr,http://83.170.105.134/336.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=f0c8c38a680040968f45faff4c8a9749&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/2445551/images/searchlogo.gif
FULL BLACK LEATHER INTERIOR,2004 (53 reg),Saloon,100,000 miles,Manual,2.0L,128 bhp,Diesel,01,695,Jaguar X-Type 2.0 D SE 4dr,http://83.170.105.134/497.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=7580362b40c2426f91c77a8c3cd83849&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/61907/images/sso-logo.gif
DIESEL MANUAL,2005 (05 reg),Hatchback,100,000 miles,Manual,2.0L,128 bhp,Diesel,00,650,Ford Mondeo 2.0 TDCi LX 5dr,http://83.170.105.134/574.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=c65362d50971439fa18389f5835e426e&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/748496/images/searchlogo.gif
TURBO DIESEL,2005 (55 reg),Hatchback,132,000 miles,Manual,2.0L,128 bhp,Diesel,01,295,Ford Mondeo 2.0 TDCi SIV Ghia 5dr,http://83.170.105.134/785.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=259cb2786b004538a3bab05a8ec758e7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/155825/images/searchlogo.gif
LEATHER SERVICE HISTORY ALLOYS,2005 (54 reg),Saloon,150,000 miles,Manual,2.0L,128 bhp,Diesel,01,389,Jaguar X-Type 2.0 S D 4d 130 BHP LEATHER SERVICE HISTORY ALLOYS,http://83.170.105.134/802.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=d776414696c443798ed6ce9f625a88ff&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/22177/images/adv_search.gif
BMW Diesel Engine, Cheap Car!,2004 (04 reg),Saloon,144,779 miles,Manual,2.0L,129 bhp,Diesel,00,995,MG ZT 2.0 135 CDTi + 4dr,http://83.170.105.134/204.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=d28cec9edf284d7391c15f24adaa260d&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/282829/images/search_logo.gif
BMW Diesel Engine, Cheap Car!,2004 (04 reg),Saloon,144,779 miles,Manual,2.0L,129 bhp,Diesel,00,995,MG ZT 2.0 135 CDTi + 4dr,http://83.170.105.134/697.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=d28cec9edf284d7391c15f24adaa260d&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/282829/images/search_logo.gif
TRADE CLEARANCE,2004 (04 reg),Saloon,204,006 miles,Manual,1.9L,130 bhp,Diesel,00,750,Volkswagen Passat 1.9 HIGHLINE TDI 4d 129 BHP,http://83.170.105.134/99.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=dc8fd3962fad447786fce1a7eb8b6868&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/353879/images/adv_logo.gif
#ERROR!,2005 (05 reg),Saloon,154,466 miles,Manual,1.9L,130 bhp,Diesel,00,899,Volkswagen Passat 1.9 SPORT TDI 4d 129 BHP,http://83.170.105.134/147.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=be023d66eb644183896c8261e3e03ef7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/21872/images/search.gif
,2006 (55 reg),MPV,110,000 miles,Manual,1.9L,130 bhp,Diesel,00,995,Renault Scenic 1.9 EXPRESSION DCI 5d 130 BHP, FINANCE SPECIALISTS, ???,http://83.170.105.134/192.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=f6622ee7ebd547a7876f5c3788327f1a&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/423043/images/searchlogo.gif
Service history,2006 (06 reg),Saloon,102,761 miles,Manual,1.9L,130 bhp,Diesel,01,150,Renault Megane 1.9 dCi Privilege 4dr,http://83.170.105.134/239.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=5d7a2879d8fe4027aaa14a2a16fb70ba&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/1110532/images/searchlogo.gif
12 Month MOT, Service History,2006 (06 reg),Convertible,86,000 miles,Manual,1.9L,130 bhp,Diesel,01,489,Renault Megane 1.9 dCi Dynamique 2dr (Non FAP),http://83.170.105.134/353.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=d1789653c01949abb157bc8678b400d6&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/423161/images/searchlogo.gif
TRADE CLEARANCE,2004 (04 reg),Saloon,204,006 miles,Manual,1.9L,130 bhp,Diesel,00,750,Volkswagen Passat 1.9 HIGHLINE TDI 4d 129 BHP,http://83.170.105.134/592.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=dc8fd3962fad447786fce1a7eb8b6868&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/353879/images/adv_logo.gif
#ERROR!,2005 (05 reg),Saloon,154,466 miles,Manual,1.9L,130 bhp,Diesel,00,899,Volkswagen Passat 1.9 SPORT TDI 4d 129 BHP,http://83.170.105.134/640.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=be023d66eb644183896c8261e3e03ef7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/21872/images/search.gif
,2006 (55 reg),MPV,110,000 miles,Manual,1.9L,130 bhp,Diesel,00,995,Renault Scenic 1.9 EXPRESSION DCI 5d 130 BHP, FINANCE SPECIALISTS, ???,http://83.170.105.134/685.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=f6622ee7ebd547a7876f5c3788327f1a&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/423043/images/searchlogo.gif
Service history,2006 (06 reg),Saloon,102,761 miles,Manual,1.9L,130 bhp,Diesel,01,150,Renault Megane 1.9 dCi Privilege 4dr,http://83.170.105.134/732.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=5d7a2879d8fe4027aaa14a2a16fb70ba&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/1110532/images/searchlogo.gif
DIESEL MANUAL LEATHER,2004 (53 reg),Saloon,169,000 miles,Manual,1.9L,130 bhp,Diesel,01,290,Audi A6 Saloon 1.9 TDI Sport 4dr,http://83.170.105.134/765.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=a0cca4ef14ff4e18b5d22dfd99299bd1&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/748496/images/searchlogo.gif
TRADE CLEARANCE,2004 (04 reg),Saloon,204,006 miles,Manual,1.9L,130 bhp,Diesel,00,750,Volkswagen Passat 1.9 HIGHLINE TDI 4d 129 BHP,http://83.170.105.134/904.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=dc8fd3962fad447786fce1a7eb8b6868&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/353879/images/adv_logo.gif
#ERROR!,2005 (05 reg),Saloon,154,466 miles,Manual,1.9L,130 bhp,Diesel,00,899,Volkswagen Passat 1.9 SPORT TDI 4d 129 BHP,http://83.170.105.134/952.jpg,https://i.atcdn.co.uk/imgser-uk/servlet/media?id=be023d66eb644183896c8261e3e03ef7&width=267&height=200&paddingColour=dfdfdf,https://dealerlogo.atcdn.co.uk/at2/adbranding/21872/images/search.gif
